# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.05.2021 по 01.06.2021, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Санкт-Петербурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.06.2021 18:00;19,1;768,7;769,0;0,3;38;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,5;Осадков нет;12;;;;
01.06.2021 15:00;18,8;768,4;768,8;0,3;38;Ветер, дующий с северо-северо-востока;1;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,3;;;;;;
01.06.2021 12:00;17,6;768,1;768,4;0,6;40;Ветер, дующий с севера;1;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;3,9;;;;;;
01.06.2021 09:00;15,5;767,5;767,8;1,2;53;Ветер, дующий с востока;1;;;Облаков нет.; ;;;8,4;;;;;;;10,0;5,9;Осадков нет;12;Поверхность почвы влажная.;6,0;;
01.06.2021 06:00;9,8;766,3;766,7;0,9;82;Штиль, безветрие;0;;;20–30%.; ;;;8,4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;6,8;Следы осадков;12;;;;
01.06.2021 03:00;9,9;765,4;765,8;0,6;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,5;;;;;;
01.06.2021 00:00;11,8;764,8;765,2;0,4;66;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;5,7;;;;;;
31.05.2021 21:00;11,8;764,4;764,8;-0,2;69;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;15,4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;6,2;Следы осадков;12;;;;
31.05.2021 18:00;13,2;764,6;765,0;-0,2;57;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;4,7;Осадков нет;12;;;;
31.05.2021 15:00;15,2;764,8;765,1;-1,2;44;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;;10,0;2,8;;;;;;
31.05.2021 12:00;15,5;766,0;766,3;-1,2;40;Ветер, дующий с запада;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;2,0;;;;;;
31.05.2021 09:00;12,7;767,2;767,5;-0,9;45;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;7,0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;0,9;Осадков нет;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;2,0;;
31.05.2021 06:00;8,2;768,1;768,5;-0,5;55;Ветер, дующий с юга;1;;;Облаков нет.; ;;;7,0;;;;;;;10,0;-0,3;Осадков нет;12;;;;
31.05.2021 03:00;8,5;768,6;769,0;-0,1;49;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;10,0;-1,6;;;;;;
31.05.2021 00:00;8,3;768,7;769,1;-0,2;61;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;1,2;;;;;;
30.05.2021 21:00;11,8;768,9;769,3;0,0;42;Штиль, безветрие;0;;;Облаков нет.; ;;;;15,3;;;;;;10,0;-0,8;Осадков нет;12;;;;
30.05.2021 18:00;14,7;768,9;769,3;-0,7;34;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;10,0;-1,0;Осадков нет;12;;;;
30.05.2021 15:00;13,9;769,6;770,0;-0,4;32;Ветер, дующий с востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-2,6;;;;;;
30.05.2021 12:00;12,8;770,0;770,4;0,4;34;Ветер, дующий с востоко-северо-востока;2;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-2,9;;;;;;
30.05.2021 09:00;10,2;769,6;770,0;0,7;46;Ветер, дующий с северо-востока;1;;;60%.; ;;;7,3;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-1,1;Осадков нет;12;Поверхность почвы влажная.;4,0;;
30.05.2021 06:00;7,5;768,9;769,3;1,1;69;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;7,3;;;;;;;10,0;2,1;Осадков нет;12;;;;
30.05.2021 03:00;7,7;767,8;768,2;0,9;65;Ветер, дующий с северо-северо-востока;1;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;1,5;;;;;;
30.05.2021 00:00;7,6;766,9;767,3;0,7;67;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;1,7;;;;;;
29.05.2021 21:00;11,1;766,2;766,6;0,9;42;Ветер, дующий с северо-востока;1;;;60%.; ;;;;14,2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;-1,3;Осадков нет;12;;;;
29.05.2021 18:00;13,2;765,3;765,7;0,0;36;Ветер, дующий с северо-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-1,5;Осадков нет;12;;;;
29.05.2021 15:00;12,7;765,3;765,7;0,8;33;Ветер, дующий с северо-северо-востока;3;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-3,4;;;;;;
29.05.2021 12:00;11,5;764,5;764,8;1,5;53;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;70 – 80%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;2,2;;;;;;
29.05.2021 09:00;11,6;763,0;763,5;1,5;61;Ветер, дующий с северо-востока;2;;;60%.; ;;;9,0;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,2;Следы осадков;12;Поверхность почвы влажная.;8,0;;
29.05.2021 06:00;9,2;761,5;761,9;0,9;83;Ветер, дующий с северо-востока;2;;;50%.; ;;;9,1;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,5;Следы осадков;12;;;;
29.05.2021 03:00;9,6;760,6;760,9;0,3;89;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2000-2500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;7,8;;;;;;
29.05.2021 00:00;10,3;760,3;760,7;0,3;80;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;7,0;;;;;;
28.05.2021 21:00;12,0;760,0;760,4;-0,7;70;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;15,8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10,0;6,7;Осадков нет;12;;;;
28.05.2021 18:00;13,0;760,7;761,1;0,1;66;Ветер, дующий с запада;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,8;Осадков нет;12;;;;
28.05.2021 15:00;15,3;760,6;761,1;-0,1;63;Ветер, дующий с западо-северо-запада;4;;;Облаков нет.; ;;;;;;;;;;10,0;8,2;;;;;;
28.05.2021 12:00;12,6;760,7;761,1;0,4;78;Ветер, дующий с западо-северо-запада;3;;;10%  или менее, но не 0; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;8,8;;;;;;
28.05.2021 09:00;11,9;760,3;760,6;0,3;84;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;10,1;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;9,2;2;12;Поверхность почвы влажная.;9,0;;
28.05.2021 06:00;10,4;760,0;760,3;0,3;92;Ветер, дующий с юго-запада;1;;;100%.; ;;;10,1;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;10,0;9,2;4;12;;;;
28.05.2021 03:00;10,3;759,7;760,1;-0,4;94;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Дождь.;;;Слоисто-кучевые, образовавшиеся из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;9,4;;;;;;
28.05.2021 00:00;11,5;760,1;760,5;-0,7;91;Ветер, дующий с юго-юго-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Дождь.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;4,0;10,1;;;;;;
27.05.2021 21:00;11,5;760,8;761,2;-0,1;92;Ветер, дующий с северо-северо-запада;1;;;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Дождь.;;19,1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;1500-2000;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;10,2;4;12;;;;
27.05.2021 18:00;13,4;760,9;761,2;0,2;78;Ветер, дующий с запада;4;;10;100%.;Ливневый(ые) дождь(и). ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;;;10,0;9,7;2;12;;;;
27.05.2021 15:00;18,3;760,7;761,1;-0,8;42;Ветер, дующий с юга;1;;;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;5,1;;;;;;
27.05.2021 12:00;17,1;761,5;761,8;-0,1;50;Ветер, дующий с юго-юго-запада;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,6;;;;;;
27.05.2021 09:00;14,4;761,6;762,0;0,1;65;Ветер, дующий с юго-юго-запада;2;;;10%  или менее, но не 0; ;;;8,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;7,8;Осадков нет;12;Поверхность почвы влажная.;6,0;;
27.05.2021 06:00;9,1;761,5;761,9;0,2;87;Штиль, безветрие;0;;;20–30%.; ;;;8,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;7,1;2;12;;;;
27.05.2021 03:00;9,5;761,3;761,7;0,2;84;Ветер, дующий с юго-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;6,9;;;;;;
27.05.2021 00:00;9,4;761,1;761,5;0,3;83;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;6,6;;;;;;
26.05.2021 21:00;11,1;760,8;761,2;2,6;75;Ветер, дующий с юго-запада;3;;10;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;12,1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,7;9;12;;;;
26.05.2021 18:00;10,9;758,2;758,6;-2,7;93;Ветер, дующий с востока;2;;;100%.;Дождь незамерзающий непрерывный умеренный в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;9,8;7;12;;;;
26.05.2021 15:00;10,9;760,9;761,2;-2,2;84;Ветер, дующий с востоко-северо-востока;2;;;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;8,2;;;;;;
26.05.2021 12:00;10,5;763,1;763,5;-1,5;76;Ветер, дующий с востоко-северо-востока;1;;;100%.;Дождь незамерзающий с перерывами слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;6,5;;;;;;
26.05.2021 09:00;10,2;764,6;765,0;-1,1;71;Ветер, дующий с востока;1;;;100%.; ;;;8,1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;5,2;Осадков нет;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;7,0;;
26.05.2021 06:00;9,3;765,7;766,1;-0,7;77;Ветер, дующий с востока;2;;;60%.; ;;;8,1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;5,5;Осадков нет;12;;;;
26.05.2021 03:00;8,9;766,4;766,9;-0,9;82;Ветер, дующий с востоко-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;6,0;;;;;;
26.05.2021 00:00;8,1;767,3;767,7;0,2;74;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;3,6;;;;;;
25.05.2021 21:00;10,2;767,1;767,5;0,1;57;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;16,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;1500-2000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;1,9;Осадков нет;12;;;;
25.05.2021 18:00;14,1;767,0;767,4;-0,3;55;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;5,1;Осадков нет;12;;;;
25.05.2021 15:00;14,7;767,3;767,7;-0,1;60;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,9;;;;;;
25.05.2021 12:00;13,9;767,4;767,8;0,5;64;Ветер, дующий с востоко-юго-востока;1;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;7,1;;;;;;
25.05.2021 09:00;11,8;766,9;767,3;1,0;71;Штиль, безветрие;0;;;70 – 80%.; ;;;8,8;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,7;Осадков нет;12;Поверхность почвы влажная.;7,0;;
25.05.2021 06:00;9,5;765,9;766,3;0,7;90;Штиль, безветрие;0;;;60%.; ;;;8,8;;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;300-600;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;7,9;Осадков нет;12;;;;
25.05.2021 03:00;9,0;765,2;765,6;0,8;86;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2000-2500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,8;;;;;;
25.05.2021 00:00;10,8;764,4;764,8;1,4;66;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;60%.;1500-2000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,7;;;;;;
24.05.2021 21:00;12,5;763,0;763,4;1,4;59;Ветер, дующий с запада;2;;;20–30%.; ;;;;15,8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;4,6;Осадков нет;12;;;;
